523.328	0.01132	523.328	0.01051
523.9399	0.01111	523.9399	0.01087
524.5518	0.01043	524.5518	0.0101
525.1638	0.00989	525.1638	0.00968
525.7757	0.01087	525.7757	0.00985
526.3876	0.01233	526.3876	0.01043
526.9996	0.01157	526.9996	0.01062
527.6115	0.01102	527.6115	0.01135
528.2234	0.01225	528.2234	0.01158
528.8353	0.01253	528.8353	0.01124
529.4473	0.01282	529.4473	0.01101
530.0592	0.01189	530.0592	0.01088
530.6711	0.01143	530.6711	0.01145
531.2831	0.01209	531.2831	0.01142
531.895	0.01178	531.895	0.01152
532.5069	0.01212	532.5069	0.01096
533.1188	0.01259	533.1188	0.01031
533.7308	0.01164	533.7308	0.01057
534.3427	0.01188	534.3427	0.01189
534.9547	0.01281	534.9547	0.01241
535.5666	0.01256	535.5666	0.01298
536.1785	0.01238	536.1785	0.01243
536.7904	0.01233	536.7904	0.0114
537.4023	0.01275	537.4023	0.00999
538.0143	0.0127	538.0143	0.01045
538.6262	0.01222	538.6262	0.01109
539.2382	0.01313	539.2382	0.01179
539.8501	0.01373	539.8501	0.01175
540.462	0.01312	540.462	0.01292
541.0739	0.01303	541.0739	0.01346
541.6859	0.01341	541.6859	0.01247
542.2978	0.01375	542.2978	0.01263
542.9097	0.01431	542.9097	0.0131
543.5217	0.01399	543.5217	0.01308
544.1336	0.01386	544.1336	0.01398
544.7455	0.01462	544.7455	0.01382
545.3574	0.01521	545.3574	0.0137
545.9694	0.01447	545.9694	0.01361
546.5813	0.01442	546.5813	0.0134
547.1932	0.01527	547.1932	0.01385
547.8052	0.01479	547.8052	0.01467
548.4171	0.01533	548.4171	0.01439
549.0291	0.01506	549.0291	0.01499
549.6409	0.01532	549.6409	0.01601
550.2529	0.01535	550.2529	0.0163
550.8648	0.01584	550.8648	0.01661
551.4767	0.01496	551.4767	0.01777
552.0887	0.01458	552.0887	0.01713
552.7006	0.01557	552.7006	0.01643
553.3126	0.01504	553.3126	0.01648
553.9244	0.01516	553.9244	0.01678
554.5364	0.01531	554.5364	0.01884
555.1483	0.01584	555.1483	0.0189
555.7603	0.01591	555.7603	0.01979
556.3722	0.0165	556.3722	0.02142
556.9841	0.01679	556.9841	0.02276
557.5961	0.01743	557.5961	0.02329
558.2079	0.01731	558.2079	0.02537
558.8199	0.01659	558.8199	0.02807
559.4318	0.01705	559.4318	0.02946
560.0438	0.01688	560.0438	0.02949
560.6557	0.01634	560.6557	0.03209
561.2676	0.01718	561.2676	0.03436
561.8796	0.01698	561.8796	0.03708
562.4915	0.01811	562.4915	0.03926
563.1034	0.01784	563.1034	0.04254
563.7153	0.01851	563.7153	0.04497
564.3273	0.01851	564.3273	0.04681
564.9392	0.01918	564.9392	0.04679
565.5511	0.02	565.5511	0.04917
566.1631	0.02039	566.1631	0.05065
566.775	0.02015	566.775	0.0546
567.3869	0.02148	567.3869	0.05905
567.9988	0.02158	567.9988	0.06262
568.6108	0.02127	568.6108	0.06608
569.2227	0.02144	569.2227	0.07108
569.8347	0.02255	569.8347	0.07205
570.4466	0.02343	570.4466	0.07362
571.0585	0.02456	571.0585	0.07917
571.6704	0.02446	571.6704	0.08223
572.2823	0.02379	572.2823	0.08534
572.8943	0.02502	572.8943	0.09049
573.5062	0.02585	573.5062	0.09542
574.1182	0.02636	574.1182	0.09685
574.7301	0.02735	574.7301	0.09872
575.342	0.0282	575.342	0.10318
575.9539	0.02952	575.9539	0.11041
576.5659	0.02974	576.5659	0.11344
577.1778	0.03145	577.1778	0.11667
577.7897	0.03247	577.7897	0.11894
578.4017	0.03479	578.4017	0.12029
579.0136	0.03524	579.0136	0.12397
579.6255	0.03469	579.6255	0.12815
580.2374	0.03449	580.2374	0.13228
580.8494	0.03641	580.8494	0.13628
581.4613	0.03729	581.4613	0.13811
582.0732	0.03905	582.0732	0.13914
582.6852	0.04098	582.6852	0.14261
583.2971	0.04264	583.2971	0.14244
583.909	0.04256	583.909	0.14708
584.5209	0.0447	584.5209	0.15341
585.1329	0.04535	585.1329	0.15598
585.7448	0.04486	585.7448	0.15362
586.3568	0.04603	586.3568	0.15371
586.9687	0.04776	586.9687	0.15577
587.5806	0.04862	587.5806	0.15704
588.1925	0.04919	588.1925	0.15737
588.8044	0.0506	588.8044	0.15758
589.4164	0.05067	589.4164	0.15926
590.0283	0.05215	590.0283	0.16027
590.6403	0.05345	590.6403	0.15942
591.2522	0.05489	591.2522	0.16112
591.8641	0.05684	591.8641	0.16276
592.476	0.05884	592.476	0.16456
593.088	0.05885	593.088	0.16789
593.6999	0.05883	593.6999	0.16856
594.3118	0.06011	594.3118	0.1685
594.9238	0.06125	594.9238	0.17118
595.5357	0.06303	595.5357	0.17
596.1476	0.06468	596.1476	0.1675
596.7595	0.06585	596.7595	0.16679
597.3715	0.06816	597.3715	0.16852
597.9834	0.06882	597.9834	0.16928
598.5953	0.06992	598.5953	0.16617
599.2073	0.07042	599.2073	0.16377
599.8192	0.07201	599.8192	0.16631
600.4312	0.07277	600.4312	0.1657
601.043	0.07519	601.043	0.1663
601.655	0.07556	601.655	0.168
602.2669	0.07822	602.2669	0.1654
602.8788	0.08049	602.8788	0.1653
603.4908	0.08186	603.4908	0.16615
604.1027	0.08168	604.1027	0.16703
604.7147	0.0835	604.7147	0.16681
605.3265	0.08544	605.3265	0.16543
605.9385	0.08622	605.9385	0.16291
606.5504	0.08745	606.5504	0.16412
607.1624	0.09062	607.1624	0.16403
607.7743	0.09288	607.7743	0.16419
608.3862	0.0957	608.3862	0.16422
608.9982	0.0987	608.9982	0.16057
